analysis_drug_name,a_psss,b_psss,c_psss,d_psss,total_exposed_psss,ror_psss,lower_ci_psss,upper_ci_psss,se_logror_psss,a_ps,b_ps,c_ps,d_ps,total_exposed_ps,ror_ps,lower_ci_ps,upper_ci_ps,se_logror_ps,total_exposed_psss_for_broad,shock_count_psss,broad_count_psss,pubchem_cid,canonical_smiles,inchikey,in_scope,exclude_reason,n_raw_names_mapped,raw_names_mapped,expected_shock,expected_broad,positive_high_flag,positive_moderate_flag,negative_high_flag,negative_moderate_flag,negative_expanded_flag,faers_signal_class,structure_available,in_scope_bool,usable_for_model,model_label,label_weight
ABALOPARATIDE,0.0,34.0,543.0,399937.0,34.0,10.664573417063318,0.6529777619804971,174.17610949410957,1.4250712031474102,0.0,33.0,543.0,399938.0,33.0,10.98294635378764,0.6720713501165121,179.48259599113297,1.4253747482876338,34,0,1,,,,,,,,0.046095766939482766,0.1681689029596968,False,False,False,False,False,uncertain,False,,False,,
ABATACEPT,1.0,147.0,542.0,399824.0,148.0,5.018249366167131,0.7009085610979227,35.928833087142976,1.0043158072235567,0.0,29.0,543.0,399942.0,29.0,12.47228415948108,0.7610874149572738,204.38896912199684,1.4267938645253266,148,1,2,,,,,,,,0.20065216197186614,0.7320293422951508,False,False,False,False,False,uncertain,False,,False,,
ABBV-951,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
ABDEC,0.0,2.0,543.0,399969.0,2.0,147.18288868445262,7.057506052399466,3069.4699459924545,1.5497878650297865,0.0,0.0,0.0,0.0,0.0,,,,,2,0,0,,,,,,,,0.0027115157023225155,0.00989228840939393,False,False,False,False,False,uncertain,False,,False,,
ABECMA,0.0,51.0,543.0,399920.0,51.0,7.143925116781737,0.44030410756934113,115.91003853205619,1.4217102034620392,0.0,48.0,543.0,399923.0,48.0,7.5858742969868835,0.46715605091249357,123.18258264509879,1.4221325478246363,51,0,0,,,,,,,,0.06914365040922414,0.2522533544395452,False,False,False,False,False,uncertain,False,,False,,
ABEMACICLIB,0.0,1058.0,543.0,398913.0,1058.0,0.3467035810773521,0.02164297375989084,5.553921307922258,1.4151986314030127,0.0,902.0,543.0,399069.0,902.0,0.40679141809396874,0.025391086082767612,6.517218574088855,1.4152563250072852,1058,0,0,46220502.0,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,UZWDCWONPYILKI-UHFFFAOYSA-N,True,,1.0,VERZENIO,1.4343918065286108,5.233020568569389,False,False,False,True,False,negative_moderate,True,True,True,0.0,0.8
ABILIFY,0.0,257.0,543.0,399714.0,257.0,1.4280490527951697,0.08896480874894172,22.922817750827132,1.4162365350937056,0.0,96.0,543.0,399875.0,96.0,3.81213207430252,0.23642723246181327,61.46648506014736,1.4185221610823813,257,0,1,,,,,,,,0.34842976774844325,1.27115906060712,False,False,False,False,False,uncertain,False,,False,,
ABILIFY ASIMTUFII,0.0,49.0,543.0,399922.0,49.0,7.432605726073987,0.4578488182314348,120.65910335350725,1.421986092438823,0.0,43.0,543.0,399928.0,43.0,8.457919614249914,0.5200089652705081,137.56763628854026,1.4229655416056375,49,0,0,,,,,,,,0.06643213470690162,0.24236106603015126,False,False,False,False,False,uncertain,False,,False,,
ABILIFY DISCMELT,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
ABILIFY MAINTENA,0.0,115.0,543.0,399856.0,115.0,3.184876760773725,0.19775786656531688,51.29221991260856,1.4179211670463734,0.0,52.0,543.0,399919.0,52.0,7.007832829543961,0.43202641712498446,113.67295845852583,1.4215801229455163,115,0,0,,,,,,,,0.15591215288354465,0.5688065835401509,False,False,False,False,False,uncertain,False,,False,,
ABIRATERONE,2.0,133.0,541.0,399838.0,135.0,11.113865995858408,2.743786006109534,45.017365457387235,0.7137014269572965,1.0,66.0,542.0,399905.0,67.0,11.179274292742928,1.5487880199199784,80.69288508497122,1.008463699989043,135,2,2,,,,,,,,0.1830273099067698,0.6677294676340902,False,False,False,False,False,uncertain,False,,False,,
ABIRATERONE ACETATE,0.0,110.0,543.0,399861.0,110.0,3.3290304586911548,0.2066528109517581,53.628323485425845,1.4180593080067296,0.0,85.0,543.0,399886.0,85.0,4.302700172694847,0.26660647795571885,69.44028111418639,1.4189920132070049,110,0,0,,,,,,,,0.14913336362773835,0.5440758625166661,False,False,False,False,False,uncertain,False,,False,,
ABRAXANE,0.0,173.0,543.0,399798.0,173.0,2.1198841959866273,0.1318931851204077,34.07233664340805,1.4169001787083524,0.0,86.0,543.0,399885.0,86.0,4.252947338753849,0.2635482731126234,68.63092234523577,1.4189443684515586,173,0,0,,,,,,,,0.23454610825089758,0.8556829474125749,False,False,False,False,False,uncertain,False,,False,,
ABREVA,0.0,50.0,543.0,399921.0,50.0,7.285407197573483,0.44890513428466144,118.23691461902065,1.42184542306528,0.0,49.0,543.0,399922.0,49.0,7.432605726073987,0.4578488182314348,120.65910335350725,1.421986092438823,50,0,0,,,,,,,,0.06778789255806289,0.24730721023484822,False,False,False,False,False,uncertain,False,,False,,
ABREVA RAPID PAIN RELIEF,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
ABRILADA,0.0,331.0,543.0,399640.0,331.0,1.109063510762737,0.06913406466147543,17.79183499376669,1.4159304431728719,0.0,321.0,543.0,399650.0,321.0,1.14358865769786,0.07128157888746656,18.346886228205346,1.4159635759778275,331,0,0,,,,,,,,0.4487558487343763,1.6371737317546953,False,False,False,False,False,uncertain,False,,False,,
ABROCITINIB,0.0,17.0,543.0,399954.0,17.0,21.025338415034827,1.2627501674050474,350.08101117514235,1.4349164727712231,0.0,17.0,543.0,399954.0,17.0,21.025338415034827,1.2627501674050474,350.08101117514235,1.4349164727712231,17,0,0,,,,,,,,0.023047883469741383,0.0840844514798484,False,False,False,False,False,uncertain,False,,False,,
ABRYSVO,0.0,2.0,543.0,399969.0,2.0,147.18288868445262,7.057506052399466,3069.4699459924545,1.5497878650297865,0.0,0.0,0.0,0.0,0.0,,,,,2,0,0,,,,,,,,0.0027115157023225155,0.00989228840939393,False,False,False,False,False,uncertain,False,,False,,
ABSORICA,0.0,5.0,543.0,399966.0,5.0,66.90081124027766,3.6946177601994172,1211.41585817681,1.477721424501424,0.0,4.0,543.0,399967.0,4.0,81.76786261882857,4.396803636337028,1520.6463399902284,1.491329825634929,5,0,0,,,,,,,,0.006778789255806289,0.024730721023484822,False,False,False,False,False,uncertain,False,,False,,
ABSORICA LD,0.0,2.0,543.0,399969.0,2.0,147.18288868445262,7.057506052399466,3069.4699459924545,1.5497878650297865,0.0,2.0,543.0,399969.0,2.0,147.18288868445262,7.057506052399466,3069.4699459924545,1.5497878650297865,2,0,0,,,,,,,,0.0027115157023225155,0.00989228840939393,False,False,False,False,False,uncertain,False,,False,,
ABSTRAL,0.0,9.0,543.0,399962.0,9.0,38.7316612598654,2.2513867255813804,666.3189255331393,1.4515872638364107,0.0,0.0,0.0,0.0,0.0,,,,,9,0,0,,,,,,,,0.01220182066045132,0.044515297842272684,False,False,False,False,False,uncertain,False,,False,,
ACALABRUTINIB,0.0,422.0,543.0,399549.0,422.0,0.8699901471396766,0.05425569403210775,13.950293506008853,1.4157009900141588,0.0,394.0,543.0,399577.0,394.0,0.9318037924870838,0.05810385672785702,14.94321300838949,1.4157603198607602,422,0,0,,,,,,,,0.5721298131900507,2.0872728543821193,False,False,False,False,False,uncertain,False,,False,,
ACAMPROSATE,0.0,5.0,543.0,399966.0,5.0,66.90081124027766,3.6946177601994172,1211.41585817681,1.477721424501424,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,5,0,0,,,,,,,,0.006778789255806289,0.024730721023484822,False,False,False,False,False,uncertain,False,,False,,
ACAMPROSATE CALCIUM,0.0,8.0,543.0,399963.0,8.0,43.288435521402675,2.4953427032235433,750.9544270091255,1.4558466558860583,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,8,0,0,,,,,,,,0.010846062809290062,0.03956915363757572,False,False,False,False,False,uncertain,False,,False,,
ACARBOSE,0.0,21.0,543.0,399950.0,21.0,17.11347639117691,1.035309204652157,282.8827106678418,1.4312072018472148,0.0,5.0,543.0,399966.0,5.0,66.90081124027766,3.6946177601994172,1211.41585817681,1.477721424501424,21,0,0,,,,,,,,0.028470914874386414,0.10386902829863626,False,False,False,False,False,uncertain,False,,False,,
ACARIZAX,0.0,7.0,543.0,399964.0,7.0,49.06034958601656,2.7984116897526703,860.1014319358002,1.4612240622020198,0.0,7.0,543.0,399964.0,7.0,49.06034958601656,2.7984116897526703,860.1014319358002,1.4612240622020198,7,0,1,,,,,,,,0.009490304958128803,0.03462300943287875,False,False,False,False,False,uncertain,False,,False,,
ACCOLATE,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
ACCRUFER,0.0,7.0,543.0,399964.0,7.0,49.06034958601656,2.7984116897526703,860.1014319358002,1.4612240622020198,0.0,7.0,543.0,399964.0,7.0,49.06034958601656,2.7984116897526703,860.1014319358002,1.4612240622020198,7,0,0,,,,,,,,0.009490304958128803,0.03462300943287875,False,False,False,False,False,uncertain,False,,False,,
ACCUPRIL,0.0,4.0,543.0,399967.0,4.0,81.76786261882857,4.396803636337028,1520.6463399902284,1.491329825634929,0.0,2.0,543.0,399969.0,2.0,147.18288868445262,7.057506052399466,3069.4699459924545,1.5497878650297865,4,0,0,,,,,,,,0.005423031404645031,0.01978457681878786,False,False,False,False,False,uncertain,False,,False,,
ACCUTANE,0.0,133.0,543.0,399838.0,133.0,2.755331135069204,0.1712242961647812,44.33862386314366,1.4175094582107193,0.0,123.0,543.0,399848.0,123.0,2.9785093616498255,0.18501564843499252,47.9500955323396,1.417723383930053,133,0,0,,,,,,,,0.1803157942044473,0.6578371792246963,False,False,False,False,False,uncertain,False,,False,,
ACEBUTOLOL,0.0,18.0,543.0,399953.0,18.0,19.888783908103136,1.1970138589032668,330.4587682097911,1.4338397681566992,0.0,0.0,0.0,0.0,0.0,,,,,18,0,0,,,,,,,,0.02440364132090264,0.08903059568454537,False,False,False,False,False,uncertain,False,,False,,
