analysis_drug_name,model_label,faers_signal_class,final_descriptor_rf_prob_positive,feature,feature_description,feature_value,shap_value,abs_shap_value
CEFUROXIME,1,positive_high,0.8627452586403075,BalabanJ,BalabanJ,3.2033288130232935e-06,0.01925971939944548,0.01925971939944548
CEFUROXIME,1,positive_high,0.8627452586403075,NumHAcceptors,Number of hydrogen-bond acceptors,10.0,0.022136378923091577,0.022136378923091577
CEFUROXIME,1,positive_high,0.8627452586403075,BertzCT,BertzCT,916.3558090774585,0.0004345913943594558,0.0004345913943594558
CEFUROXIME,1,positive_high,0.8627452586403075,MolMR,Molar refractivity,94.84510000000002,0.00974873755772681,0.00974873755772681
CEFUROXIME,1,positive_high,0.8627452586403075,NumHeteroatoms,Number of heteroatoms,14.0,0.03545154887885974,0.03545154887885974
CEFUROXIME,1,positive_high,0.8627452586403075,NHOHCount,Number of NH or OH groups,3.0,0.016466078370824967,0.016466078370824967
CEFUROXIME,1,positive_high,0.8627452586403075,fr_piperzine,RDKit fragment count: piperzine,0.0,0.00653807875873242,0.00653807875873242
CEFUROXIME,1,positive_high,0.8627452586403075,fr_ketone_Topliss,RDKit fragment count: ketone_Topliss,0.0,-0.004089526537336164,0.004089526537336164
CEFUROXIME,1,positive_high,0.8627452586403075,HeavyAtomCount,Number of heavy atoms,30.0,-0.007252944525982034,0.007252944525982034
CEFUROXIME,1,positive_high,0.8627452586403075,NOCount,Number of nitrogen or oxygen atoms,12.0,0.0182722242715346,0.0182722242715346
CEFUROXIME,1,positive_high,0.8627452586403075,fr_ketone,RDKit fragment count: ketone,0.0,-0.003356562965279338,0.003356562965279338
CEFUROXIME,1,positive_high,0.8627452586403075,HeavyAtomMolWt,Heavy-atom molecular weight,431.25300000000016,0.004717993146887709,0.004717993146887709
CEFUROXIME,1,positive_high,0.8627452586403075,ExactMolWt,Exact molecular weight,446.05082872,0.0007893573782362609,0.0007893573782362609
CEFUROXIME,1,positive_high,0.8627452586403075,fr_para_hydroxylation,RDKit fragment count: para_hydroxylation,0.0,-0.003446887579194695,0.003446887579194695
CEFUROXIME,1,positive_high,0.8627452586403075,MolWt,Molecular weight,446.3730000000003,0.0035898014837017333,0.0035898014837017333
CEFUROXIME,1,positive_high,0.8627452586403075,fr_C_O,RDKit fragment count: C_O,4.0,0.015652241505234806,0.015652241505234806
CEFUROXIME,1,positive_high,0.8627452586403075,fr_benzene,RDKit fragment count: benzene,0.0,0.013868260578133236,0.013868260578133236
CEFUROXIME,1,positive_high,0.8627452586403075,fr_Al_OH_noTert,RDKit fragment count: Al_OH_noTert,0.0,-0.003809439328190402,0.003809439328190402
CEFUROXIME,1,positive_high,0.8627452586403075,fr_C_O_noCOO,RDKit fragment count: C_O_noCOO,4.0,0.01489008193611104,0.01489008193611104
CEFUROXIME,1,positive_high,0.8627452586403075,NumRotatableBonds,Number of rotatable bonds,7.0,0.006285020648923574,0.006285020648923574
CEFUROXIME,1,positive_high,0.8627452586403075,fr_Al_COO,RDKit fragment count: Al_COO,1.0,0.02180550700151423,0.02180550700151423
