feature,feature_description,feature_category,mean_abs_shap,mean_shap,mean_value_all,mean_value_positive,mean_value_negative,positive_minus_negative_mean,nonzero_count
fr_Ndealkylation2,RDKit fragment count: Ndealkylation2,RDKit_fragment_count,0.0012232185724675724,-0.00014656959426109293,0.09433962264150944,0.1016949152542373,0.0851063829787234,0.016588532275513893,10
fr_pyridine,RDKit fragment count: pyridine,RDKit_fragment_count,0.0012209985750325288,0.00033707976261529747,0.07547169811320754,0.01694915254237288,0.14893617021276595,-0.13198701767039306,7
fr_Imine,RDKit fragment count: Imine,RDKit_fragment_count,0.00119714133661407,0.0002729990638644948,0.12264150943396226,0.1016949152542373,0.14893617021276595,-0.047241254958528656,10
fr_lactam,RDKit fragment count: lactam,RDKit_fragment_count,0.0011598634628884408,-0.0004653856768640837,0.03773584905660377,0.06779661016949153,0.0,0.06779661016949153,4
fr_sulfide,RDKit fragment count: sulfide,RDKit_fragment_count,0.0010629579329335022,-0.00040064975725623595,0.07547169811320754,0.11864406779661017,0.02127659574468085,0.09736747205192932,6
fr_quatN,RDKit fragment count: quatN,RDKit_fragment_count,0.0010305822560657942,-0.00020588526813378,0.03773584905660377,0.06779661016949153,0.0,0.06779661016949153,3
fr_aryl_methyl,RDKit fragment count: aryl_methyl,RDKit_fragment_count,0.001014794695505217,-0.00010755792263004993,0.20754716981132076,0.1694915254237288,0.2553191489361702,-0.08582762351244139,17
fr_allylic_oxid,RDKit fragment count: allylic_oxid,RDKit_fragment_count,0.0009499701893438537,0.00012563941214041203,0.36792452830188677,0.288135593220339,0.46808510638297873,-0.17994951316263974,11
fr_Ar_COO,RDKit fragment count: Ar_COO,RDKit_fragment_count,0.0009227772708566538,0.00033092767555100816,0.03773584905660377,0.0,0.0851063829787234,-0.0851063829787234,4
fr_imide,RDKit fragment count: imide,RDKit_fragment_count,0.0007724584214065271,0.0003979656011676552,0.02830188679245283,0.0,0.06382978723404255,-0.06382978723404255,2
fr_amidine,RDKit fragment count: amidine,RDKit_fragment_count,0.0006060403416864274,0.00018784153537641516,0.04716981132075472,0.01694915254237288,0.0851063829787234,-0.06815723043635052,5
fr_piperdine,RDKit fragment count: piperdine,RDKit_fragment_count,0.00034263529444456057,0.00015383967208442833,0.10377358490566038,0.1016949152542373,0.10638297872340426,-0.0046880634691669615,11
fr_morpholine,RDKit fragment count: morpholine,RDKit_fragment_count,0.0002967429762488721,-0.00010284022708637047,0.018867924528301886,0.03389830508474576,0.0,0.03389830508474576,2
fr_thiophene,RDKit fragment count: thiophene,RDKit_fragment_count,0.00023858860425555166,-8.644713442765711e-05,0.03773584905660377,0.01694915254237288,0.06382978723404255,-0.04688063469166967,4
fr_urea,RDKit fragment count: urea,RDKit_fragment_count,0.00023429830946266263,0.0001539446439000214,0.018867924528301886,0.0,0.0425531914893617,-0.0425531914893617,2
fr_sulfonamd,RDKit fragment count: sulfonamd,RDKit_fragment_count,0.00020761797552319445,4.616149544398032e-05,0.04716981132075472,0.01694915254237288,0.0851063829787234,-0.06815723043635052,4
fr_oxime,RDKit fragment count: oxime,RDKit_fragment_count,0.00015693153730695969,-9.445677843095116e-05,0.018867924528301886,0.03389830508474576,0.0,0.03389830508474576,2
fr_priamide,RDKit fragment count: priamide,RDKit_fragment_count,9.435578465524888e-05,-3.3649363203456605e-05,0.018867924528301886,0.03389830508474576,0.0,0.03389830508474576,2
fr_tetrazole,RDKit fragment count: tetrazole,RDKit_fragment_count,7.382111318032743e-05,-2.1131740507103005e-05,0.018867924528301886,0.01694915254237288,0.02127659574468085,-0.004327443202307969,2
fr_lactone,RDKit fragment count: lactone,RDKit_fragment_count,5.2689732123575485e-05,-1.578994705236551e-05,0.018867924528301886,0.03389830508474576,0.0,0.03389830508474576,2
fr_thiazole,RDKit fragment count: thiazole,RDKit_fragment_count,0.0,0.0,0.018867924528301886,0.03389830508474576,0.0,0.03389830508474576,2
fr_nitro,RDKit fragment count: nitro,RDKit_fragment_count,0.0,0.0,0.018867924528301886,0.0,0.0425531914893617,-0.0425531914893617,2
fr_guanido,RDKit fragment count: guanido,RDKit_fragment_count,0.0,0.0,0.04716981132075472,0.0847457627118644,0.0,0.0847457627118644,2
