analysis_drug_name,model_label,faers_signal_class,final_rf_prob_positive,selection_reason,atom_index,atom_symbol,atom_shap_contribution,abs_atom_shap_contribution,heatmap_svg,heatmap_png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,13,C,0.014442566687782715,0.014442566687782715,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,14,N,0.010451657276182948,0.010451657276182948,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,15,C,0.011816273894934547,0.011816273894934547,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,16,O,0.010445711590970519,0.010445711590970519,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,17,C,0.0024729932587138825,0.0024729932587138825,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,18,C,0.004864770460711266,0.004864770460711266,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,19,C,0.005299160183429404,0.005299160183429404,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,20,S,0.014833747069426771,0.014833747069426771,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,21,C,0.009925835510939857,0.009925835510939857,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,22,O,0.0009464115725739894,0.0009464115725739894,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
