bit,bit_shap,center_atom,radius,n_atoms_in_environment,environment_atoms,per_environment_value,per_atom_value,analysis_drug_name,model_label,faers_signal_class,final_rf_prob_positive,selection_reason
1066,-0.006004631438049722,5,2,6,"3,4,5,6,7,8",-0.006004631438049722,-0.0010007719063416204,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1075,0.0004291019122073841,23,2,5,"21,22,23,24,25",0.0004291019122073841,8.582038244147682e-05,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1088,-0.004125714746477681,6,1,3,"5,6,7",-0.004125714746477681,-0.0013752382488258937,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1152,-0.0001841275438947774,11,0,1,11,-0.0001841275438947774,-0.0001841275438947774,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1171,0.0037096451370321995,25,0,1,25,0.0037096451370321995,0.0037096451370321995,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1210,0.006212996529762432,9,1,4,"3,9,10,11",0.006212996529762432,0.001553249132440608,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1213,0.00042568183881592657,29,0,1,29,0.00042568183881592657,0.00042568183881592657,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1226,0.0026864327621840376,28,1,2,"26,28",0.0026864327621840376,0.0013432163810920188,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1255,-0.006104054823130407,22,2,6,"18,21,22,23,24,25",-0.006104054823130407,-0.0010173424705217345,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1279,0.021462480838443394,13,1,4,"12,13,14,20",0.021462480838443394,0.005365620209610848,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1380,-0.0027472580753508296,4,0,1,4,-0.0006868145188377074,-0.0006868145188377074,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1380,-0.0027472580753508296,15,0,1,15,-0.0006868145188377074,-0.0006868145188377074,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1380,-0.0027472580753508296,17,0,1,17,-0.0006868145188377074,-0.0006868145188377074,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1380,-0.0027472580753508296,18,0,1,18,-0.0006868145188377074,-0.0006868145188377074,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1422,0.009741481593725187,1,1,3,"0,1,2",0.009741481593725187,0.003247160531241729,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1441,0.012161608767562447,13,2,8,"11,12,13,14,15,17,19,20",0.012161608767562447,0.0015202010959453058,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1508,-0.0031377302858191054,15,2,7,"11,12,13,14,15,16,17",-0.0031377302858191054,-0.0004482471836884436,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1568,-0.0009379831205042154,26,1,4,"17,26,27,28",-0.0009379831205042154,-0.00023449578012605385,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1750,-0.0037518930568605983,5,1,3,"4,5,6",-0.0037518930568605983,-0.0012506310189535328,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1754,-0.013090527538344852,4,1,4,"3,4,5,8",-0.013090527538344852,-0.003272631884586213,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1873,-0.0018569215689724819,5,0,1,5,-0.0006189738563241607,-0.0006189738563241607,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1873,-0.0018569215689724819,6,0,1,6,-0.0006189738563241607,-0.0006189738563241607,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1873,-0.0018569215689724819,7,0,1,7,-0.0006189738563241607,-0.0006189738563241607,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1893,0.002255270021405152,2,2,6,"0,1,2,3,4,9",0.002255270021405152,0.0003758783369008587,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1917,0.0036967084348391455,10,1,2,"9,10",0.0012322361449463818,0.0006161180724731909,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1917,0.0036967084348391455,24,1,2,"23,24",0.0012322361449463818,0.0006161180724731909,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1917,0.0036967084348391455,27,1,2,"26,27",0.0012322361449463818,0.0006161180724731909,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1922,0.0004750675777628469,14,1,4,"13,14,15,17",0.0004750675777628469,0.00011876689444071173,CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability
1,-0.001581509531267403,1,0,1,1,-0.0007907547656337015,-0.0007907547656337015,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1,-0.001581509531267403,2,0,1,2,-0.0007907547656337015,-0.0007907547656337015,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
220,-0.0024970375153307712,2,1,4,"1,2,3,9",-0.0024970375153307712,-0.0006242593788326928,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
227,0.019417975418709814,9,1,2,"2,9",0.019417975418709814,0.009708987709354907,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
283,-0.002886625255715147,0,1,2,"0,1",-0.002886625255715147,-0.0014433126278575734,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
348,-0.0003678646012369597,1,1,4,"0,1,2,10",-0.0003678646012369597,-9.196615030923993e-05,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
389,0.0011268651006460535,6,2,5,"4,5,6,7,8",0.0011268651006460535,0.0002253730201292107,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
545,0.0020825872228795563,1,2,7,"0,1,2,3,9,10,11",0.0020825872228795563,0.00029751246041136517,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
803,-0.0033581143560476876,2,2,8,"0,1,2,3,4,8,9,10",-0.0033581143560476876,-0.00041976429450596095,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
807,0.0034114899023926343,9,0,1,9,0.0034114899023926343,0.0034114899023926343,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
886,-0.002694481925386752,3,2,8,"1,2,3,4,5,7,8,9",-0.002694481925386752,-0.000336810240673344,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1057,-0.0005588660819922675,0,0,1,0,-0.0002794330409961337,-0.0002794330409961337,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1057,-0.0005588660819922675,11,0,1,11,-0.0002794330409961337,-0.0002794330409961337,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1088,-0.0034020769457610888,5,1,3,"4,5,6",-0.0011340256485870297,-0.0003780085495290099,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1088,-0.0034020769457610888,6,1,3,"5,6,7",-0.0011340256485870297,-0.0003780085495290099,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1088,-0.0034020769457610888,7,1,3,"6,7,8",-0.0011340256485870297,-0.0003780085495290099,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1152,0.00027141932616248966,10,0,1,10,0.00027141932616248966,0.00027141932616248966,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1199,-0.008036429003173204,5,2,5,"3,4,5,6,7",-0.004018214501586602,-0.0008036429003173204,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1199,-0.008036429003173204,7,2,5,"3,5,6,7,8",-0.004018214501586602,-0.0008036429003173204,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1365,0.010001652248355137,3,1,4,"2,3,4,8",0.010001652248355137,0.002500413062088784,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1380,-0.004493862034887245,3,0,1,3,-0.004493862034887245,-0.004493862034887245,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1385,-0.015961543352408878,10,2,5,"0,1,2,10,11",-0.015961543352408878,-0.0031923086704817756,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1430,-0.005785327295278329,11,1,2,"10,11",-0.005785327295278329,-0.0028926636476391647,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
1581,-0.00022208056963567472,4,2,6,"2,3,4,5,6,8",-0.00011104028481783736,-1.8506714136306228e-05,PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative
