roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,model,fold,split_method,threshold_type,n_train,n_test,n_train_pos,n_test_pos,n_train_scaffolds,n_test_scaffolds
0.42105263157894735,0.3492063492063492,0.5175438596491228,0.4528301886792453,0.6666666666666666,0.36842105263157887,0.2941176470588235,0.4081632653061224,0.03295917321500774,0.4203763898171742,2.0,4.0,1.0,1.0,0.5,logistic_l2,20,StratifiedGroupKFold,fixed_0.5,98,8,57,2,78,8
0.42105263157894735,0.3492063492063492,0.42105263157894735,0.6037735849056604,0.0,0.8421052631578947,0.0,0.0,-0.22448148540588744,0.4203763898171742,5.0,1.0,2.0,0.0,0.9812011092711541,logistic_l2,20,StratifiedGroupKFold,train_youden,98,8,57,2,78,8
0.7527472527472527,0.7721631318228594,0.7623626373626374,0.768595041322314,0.8461538461538461,0.6785714285714287,0.7534246575342467,0.7971014492753624,0.5348113637925882,0.1974139969377634,5.0,3.0,2.0,10.0,0.5,logistic_l2,21,StratifiedGroupKFold,fixed_0.5,86,20,47,12,67,19
0.7527472527472527,0.7721631318228594,0.5384615384615384,0.5041322314049587,0.07692307692307693,1.0,1.0,0.14285714285714285,0.19270515954324838,0.1974139969377634,8.0,0.0,11.0,1.0,0.9777359036743043,logistic_l2,21,StratifiedGroupKFold,train_youden,86,20,47,12,67,19
0.7142857142857142,0.5448717948717948,0.6190476190476191,0.5964912280701755,0.6666666666666666,0.5714285714285714,0.3571428571428571,0.4651162790697674,0.20972150696953698,0.23343322607586922,3.0,3.0,1.0,1.0,0.5,logistic_l2,22,StratifiedGroupKFold,fixed_0.5,98,8,57,2,78,8
0.7142857142857142,0.5448717948717948,0.5,0.736842105263158,0.0,1.0,0.0,0.0,0.0,0.23343322607586922,6.0,0.0,2.0,0.0,0.9812122503541566,logistic_l2,22,StratifiedGroupKFold,train_youden,98,8,57,2,78,8
0.6408948194662479,0.7050582295908006,0.6397174254317112,0.6578947368421051,0.7692307692307693,0.5102040816326532,0.6756756756756758,0.7194244604316548,0.2898607641449445,0.2375704896944628,8.0,8.0,5.0,15.0,0.5,logistic_l2,23,StratifiedGroupKFold,fixed_0.5,70,36,39,20,66,20
0.6408948194662479,0.7050582295908006,0.5,0.42982456140350866,0.0,1.0,0.0,0.0,0.0,0.2375704896944628,16.0,0.0,20.0,0.0,0.9749854400406536,logistic_l2,23,StratifiedGroupKFold,train_youden,70,36,39,20,66,20
0.6363636363636364,0.7057213907907561,0.5582750582750583,0.5572519083969466,0.6923076923076923,0.4242424242424244,0.5421686746987953,0.6081081081081081,0.12094326630043638,0.3357647867485171,4.0,5.0,4.0,7.0,0.5,logistic_l2,24,StratifiedGroupKFold,fixed_0.5,86,20,48,11,66,20
0.6363636363636364,0.7057213907907561,0.6083916083916083,0.6106870229007634,0.3076923076923077,0.9090909090909091,0.7692307692307692,0.43956043956043955,0.2717521438652903,0.3357647867485171,8.0,1.0,8.0,3.0,0.9805377973477449,logistic_l2,24,StratifiedGroupKFold,train_youden,86,20,48,11,66,20
0.6229166666666666,0.734370465513901,0.6604166666666667,0.6642857142857141,0.6875,0.6333333333333335,0.7142857142857143,0.7006369426751593,0.3191423692521128,0.2545316661617347,5.0,3.0,5.0,9.0,0.5,logistic_l2,25,StratifiedGroupKFold,fixed_0.5,84,22,45,14,67,19
0.6229166666666666,0.734370465513901,0.5625,0.49999999999999983,0.125,1.0,1.0,0.2222222222222222,0.24019223070763068,0.2545316661617347,8.0,0.0,13.0,1.0,0.9801277451379055,logistic_l2,25,StratifiedGroupKFold,train_youden,84,22,45,14,67,19
0.8109243697478992,0.8328029329954876,0.6974789915966386,0.6956521739130435,0.5714285714285714,0.823529411764706,0.7692307692307694,0.6557377049180328,0.4074773522255931,0.1843370065844811,8.0,2.0,5.0,5.0,0.5,logistic_l2,26,StratifiedGroupKFold,fixed_0.5,86,20,49,10,67,19
0.8109243697478992,0.8328029329954876,0.6071428571428571,0.6014492753623188,0.21428571428571427,1.0,1.0,0.35294117647058826,0.3441902075229679,0.1843370065844811,10.0,0.0,8.0,2.0,0.9804563032466972,logistic_l2,26,StratifiedGroupKFold,train_youden,86,20,49,10,67,19
0.6993727598566307,0.8259386710998515,0.7043010752688172,0.7180616740088105,0.7419354838709677,0.6666666666666667,0.827338129496403,0.7823129251700681,0.390286931230902,0.21523057501179402,7.0,4.0,7.0,17.0,0.5,logistic_l2,27,StratifiedGroupKFold,fixed_0.5,71,35,35,24,67,19
0.6993727598566307,0.8259386710998515,0.5,0.317180616740088,0.0,1.0,0.0,0.0,0.0,0.21523057501179402,11.0,0.0,24.0,0.0,0.9781535489065608,logistic_l2,27,StratifiedGroupKFold,train_youden,71,35,35,24,67,19
0.8571428571428571,0.7272727272727273,0.5952380952380952,0.3461538461538462,1.0,0.19047619047619047,0.22727272727272727,0.37037037037037035,0.2080625946441198,0.3346773419185969,1.0,5.0,0.0,2.0,0.5,logistic_l2,28,StratifiedGroupKFold,fixed_0.5,98,8,57,2,78,8
0.8571428571428571,0.7272727272727273,0.5,0.8076923076923077,0.0,1.0,0.0,0.0,0.0,0.3346773419185969,6.0,0.0,2.0,0.0,0.9814696505600641,logistic_l2,28,StratifiedGroupKFold,train_youden,98,8,57,2,78,8
