scenario,split_type,threshold_type,metric,n,mean,sd,median,q025,q975
exclude_corticosteroids_all,random,train_youden,f1,100,0.6480892369470841,0.12113117214823005,0.6557377049180328,0.3703703703703704,0.8519230769230768
exclude_corticosteroids_all,random,train_youden,mcc,100,0.35097480088639615,0.18294694764665695,0.3305327857293007,0.057367028881440185,0.7587422228031182
exclude_corticosteroids_all,random,train_youden,brier,100,0.22249104276727227,0.017302536667340333,0.22331004572427635,0.1896381981793785,0.2573337469850994
exclude_corticosteroids_all,scaffold,fixed_0.5,roc_auc,100,0.7006243420102714,0.113923962946601,0.7110323886639676,0.48523755656108597,0.8899494949494949
exclude_corticosteroids_all,scaffold,fixed_0.5,pr_auc,100,0.7229125226076302,0.1549959206363671,0.7477562290983193,0.3029851508257678,0.9395654942739975
exclude_corticosteroids_all,scaffold,fixed_0.5,balanced_accuracy,100,0.6474184675117612,0.10041043545602372,0.6452729944050617,0.43119949903038135,0.8373106060606059
exclude_corticosteroids_all,scaffold,fixed_0.5,accuracy,100,0.6227913804272517,0.11061742644991197,0.6346244965647951,0.38756843065693436,0.8444607214795823
exclude_corticosteroids_all,scaffold,fixed_0.5,sensitivity,100,0.7372762312424715,0.1889367892062213,0.75,0.3127450980392157,1.0
exclude_corticosteroids_all,scaffold,fixed_0.5,specificity,100,0.5575607037810512,0.20982915296717441,0.5634920634920636,0.19794117647058826,1.0
exclude_corticosteroids_all,scaffold,fixed_0.5,precision,100,0.609886114787849,0.1850008210072072,0.6049431370341178,0.23288043478260867,1.0
exclude_corticosteroids_all,scaffold,fixed_0.5,f1,100,0.6320503297269952,0.13175520814534736,0.6581374829550013,0.31730187537810045,0.8236788617886177
exclude_corticosteroids_all,scaffold,fixed_0.5,mcc,100,0.29812308262758763,0.1938586877802433,0.30572679468324865,-0.1350738479933951,0.7052554426677135
