scenario,split_type,analysis_drug_name,model_label,faers_signal_class,mean_prob_positive,sd_prob_positive,median_prob_positive,n_predictions,mean_pred_0_5,mean_pred_train_youden,potential_false_positive,potential_false_negative
main_all_labels,scaffold,CEFAZOLIN,1,positive_moderate,0.6218866240133438,0.06101181442960383,0.610918326170599,20,1.0,0.9,False,False
main_all_labels,scaffold,MESALAMINE,0,negative_expanded,0.621347835813301,0.037365304024172784,0.6168865303540487,20,1.0,1.0,True,False
main_all_labels,scaffold,ALBUTEROL,1,positive_moderate,0.6198133014409273,0.039239434575463014,0.6178474971266861,20,1.0,1.0,False,False
main_all_labels,scaffold,IFOSFAMIDE,1,positive_moderate,0.6119790004708671,0.04722015456497349,0.6141995768065976,20,1.0,0.95,False,False
main_all_labels,scaffold,METHAMPHETAMINE,0,negative_expanded,0.6086023353370551,0.040674213173898084,0.6132763478550771,20,1.0,1.0,True,False
main_all_labels,scaffold,LISDEXAMFETAMINE,0,negative_expanded,0.6058945385735723,0.04368330842619378,0.6025917517636861,20,1.0,1.0,True,False
main_all_labels,scaffold,TREPROSTINIL,0,negative_moderate,0.6050816408027181,0.029968462919453383,0.6008142956189855,20,1.0,0.9,True,False
main_all_labels,scaffold,SEVOFLURANE,1,positive_moderate,0.6034331473460096,0.04713010881245866,0.5988528550108673,20,1.0,0.9,False,False
main_all_labels,scaffold,LACOSAMIDE,0,negative_expanded,0.599358314770266,0.04488160231279376,0.5975486796834493,20,1.0,0.95,False,False
main_all_labels,scaffold,MORPHINE,1,positive_moderate,0.5964038909301574,0.03823267704167144,0.6065123633860625,20,1.0,0.9,False,False
main_all_labels,scaffold,ACETAMINOPHEN,1,positive_high,0.5943556608167071,0.03351589130293208,0.5861171176270341,20,1.0,1.0,False,False
main_all_labels,scaffold,DICLOFENAC,1,positive_high,0.5927922869114164,0.0349453083231633,0.5931516982163311,20,1.0,0.9,False,False
main_all_labels,scaffold,FAMOTIDINE,1,positive_moderate,0.5918493483743879,0.04119562277979031,0.5840067744543949,20,1.0,0.85,False,False
main_all_labels,scaffold,VENLAFAXINE,0,negative_expanded,0.5904889567481612,0.04346792534008858,0.5822006939994987,20,0.95,0.8,False,False
main_all_labels,scaffold,EPHEDRINE,1,positive_moderate,0.5900916116133427,0.03393639398190619,0.590436620852115,20,1.0,0.95,False,False
main_all_labels,scaffold,PSEUDOEPHEDRINE,0,negative_expanded,0.5900916116133427,0.03393639398190619,0.590436620852115,20,1.0,0.95,False,False
main_all_labels,scaffold,ERGOCALCIFEROL,0,negative_expanded,0.5880919847849715,0.04558348629324704,0.5903024581386198,20,0.9,0.85,False,False
main_all_labels,scaffold,LIDOCAINE,1,positive_high,0.5836001683604337,0.03736671287579588,0.5925830784876337,20,1.0,0.9,False,False
main_all_labels,scaffold,AMBRISENTAN,0,negative_expanded,0.5835695138216596,0.028020637617180558,0.5830616501331938,20,1.0,0.85,False,False
main_all_labels,scaffold,HYDROMORPHONE,1,positive_moderate,0.5797206686056164,0.04658605707369416,0.5833209284372595,20,0.95,0.9,False,False
main_all_labels,scaffold,AZATHIOPRINE,0,negative_moderate,0.5736929830485233,0.04070629711401991,0.5720336862480904,20,1.0,0.65,False,False
main_all_labels,scaffold,COCAINE,0,negative_expanded,0.5736438576119443,0.03566481429699795,0.5706169894271609,20,0.95,0.8,False,False
main_all_labels,scaffold,DOXORUBICIN,1,positive_moderate,0.5715950259302749,0.03733341860442735,0.565764073054706,20,1.0,0.65,False,False
main_all_labels,scaffold,LEVOLEUCOVORIN,1,positive_moderate,0.566192898070493,0.03355662531693745,0.5637502159517087,20,0.95,0.65,False,False
main_all_labels,scaffold,BENDAMUSTINE,1,positive_moderate,0.5591385092351209,0.04131960044314147,0.5657666419780465,20,0.9,0.65,False,False
main_all_labels,scaffold,PACLITAXEL,1,positive_high,0.5583222585564751,0.04560527624375299,0.5670158169930373,20,0.85,0.7,False,False
main_all_labels,scaffold,CYTARABINE,1,positive_moderate,0.5575066862429072,0.05231881702054796,0.5575007541133781,20,0.9,0.75,False,False
main_all_labels,scaffold,REMIFENTANIL,1,positive_moderate,0.5508504607050171,0.0470079121372224,0.5579767569034049,20,0.9,0.55,False,False
main_all_labels,scaffold,PROPOFOL,1,positive_high,0.5481754652952733,0.033513040634677846,0.5576699216115794,20,0.9,0.65,False,False
main_all_labels,scaffold,DIPHENHYDRAMINE,1,positive_moderate,0.5468374470509565,0.03325435001150647,0.5422216697429382,20,0.95,0.55,False,False
main_all_labels,scaffold,HYDROCHLOROTHIAZIDE,0,negative_expanded,0.5454403061366332,0.03800764048807093,0.5435322888245334,20,0.9,0.4,False,False
main_all_labels,scaffold,POMALIDOMIDE,0,negative_high,0.5381942174620369,0.051783540987810565,0.5467133443485629,20,0.8,0.4,False,False
