scenario,bit,importance,pos_freq,neg_freq,pos_minus_neg_freq,n_on,n_pos_on,n_neg_on,example_positive_drugs,example_negative_drugs,bitinfo_examples
no_negative_expanded,533,0.005402793324301354,0.0,0.1428571492433548,-0.1428571492433548,2,0,2,,POMALIDOMIDE | QUETIAPINE,"POMALIDOMIDE:((4, 2),) | QUETIAPINE:((6, 2),)"
no_negative_expanded,1325,0.005142292447939004,0.18644067645072937,0.2857142984867096,-0.09927362203598022,15,11,4,DEXAMETHASONE | ONDANSETRON | ROCURONIUM | BUDESONIDE | DEXAMETHASONE ACETATE | GLYCOPYRROLATE | HYDROCORTISONE | HYDROMORPHONE | METHYLPREDNISOLONE | NEMTABRUTINIB | TRANEXAMIC ACID,PALBOCICLIB | PIMAVANSERIN | POMALIDOMIDE | IBRUTINIB,"DEXAMETHASONE:((5, 1),) | ONDANSETRON:((8, 1),) | ROCURONIUM:((10, 1), (13, 1), (14, 1)) | BUDESONIDE:((9, 1),) | DEXAMETHASONE ACETATE:((5, 1),) | GLYCOPYRROLATE:((3, 1), (11, 1), (14, 1)) | HYDROCORTISONE:((9, 1), (16, 1)) | HYDROMORPHONE:((20, 1),) | METHYLPREDNISOLONE:((5, 1),) | NEMTABRUTINIB:((1, 1), (0, 1))"
no_negative_expanded,982,0.005040480304707837,0.0,0.1428571492433548,-0.1428571492433548,2,0,2,,ALPRAZOLAM | TREPROSTINIL,"ALPRAZOLAM:((4, 2),) | TREPROSTINIL:((17, 2),)"
no_negative_expanded,440,0.005028113264266867,0.033898305147886276,0.2142857164144516,-0.18038740754127502,5,2,3,CEFTRIAXONE | CEFUROXIME,CLOZAPINE | OLANZAPINE | QUETIAPINE,"CEFTRIAXONE:((19, 2),) | CEFUROXIME:((9, 2),) | CLOZAPINE:((9, 1),) | OLANZAPINE:((12, 1),) | QUETIAPINE:((14, 1),)"
no_negative_expanded,1982,0.004884818902894649,0.0,0.1428571492433548,-0.1428571492433548,2,0,2,,CLOZAPINE | OLANZAPINE,"CLOZAPINE:((10, 1), (17, 1)) | OLANZAPINE:((7, 1),)"
no_negative_expanded,389,0.004864438547242306,0.37288135290145874,0.2142857164144516,0.15859563648700714,25,22,3,AMOXICILLIN | CEFTRIAXONE | DICLOFENAC | PACLITAXEL | BENDAMUSTINE | BORTEZOMIB | CEFAZOLIN | CHLORHEXIDINE GLUCONATE | DEXCHLORPHENIRAMINE | DIPHENHYDRAMINE | EPHEDRINE | GABAPENTIN | GLYCOPYRROLATE | IFOSFAMIDE | LABETALOL | MELPHALAN | METAMIZOLE | NAPROXEN | NEMTABRUTINIB | REMIFENTANIL,ALPRAZOLAM | IBRUTINIB | TREPROSTINIL,"AMOXICILLIN:((23, 1),) | CEFTRIAXONE:((35, 1),) | DICLOFENAC:((9, 1),) | PACLITAXEL:((27, 2), (36, 2), (47, 2)) | BENDAMUSTINE:((22, 1),) | BORTEZOMIB:((14, 2),) | CEFAZOLIN:((28, 1),) | CHLORHEXIDINE GLUCONATE:((41, 1), (54, 1)) | DEXCHLORPHENIRAMINE:((5, 1), (23, 1), (26, 1)) | DIPHENHYDRAMINE:((10, 2), (16, 2))"
no_negative_expanded,1164,0.004858298265050448,0.016949152573943138,0.1428571492433548,-0.1259080022573471,3,1,2,CEFAZOLIN,RELUGOLIX | ALPRAZOLAM,"CEFAZOLIN:((2, 1), (3, 1)) | RELUGOLIX:((25, 1), (26, 1)) | ALPRAZOLAM:((2, 1), (3, 1))"
no_negative_expanded,162,0.00466888537567621,0.016949152573943138,0.1428571492433548,-0.1259080022573471,3,1,2,CEFAZOLIN,RELUGOLIX | OLANZAPINE,"CEFAZOLIN:((5, 1),) | RELUGOLIX:((6, 1),) | OLANZAPINE:((5, 1),)"
no_negative_expanded,1457,0.004646582389876784,0.08474576473236084,0.2142857164144516,-0.12953995168209076,8,5,3,CEFTRIAXONE | CYTARABINE | ETOPOSIDE | FLUDARABINE | LEVOLEUCOVORIN,POMALIDOMIDE | APREMILAST | IBRUTINIB,"CEFTRIAXONE:((30, 1),) | CYTARABINE:((7, 1),) | ETOPOSIDE:((18, 1),) | FLUDARABINE:((19, 1),) | LEVOLEUCOVORIN:((11, 1),) | POMALIDOMIDE:((19, 1),) | APREMILAST:((11, 1),) | IBRUTINIB:((32, 1),)"
no_negative_expanded,695,0.004451371013742912,0.4237288236618042,0.5,-0.0762711763381958,32,25,7,CEFTRIAXONE | CEFUROXIME | IOPROMIDE | PACLITAXEL | ROCURONIUM | APREPITANT | AZITHROMYCIN | DEXAMETHASONE ACETATE | DIPHENHYDRAMINE | DOXORUBICIN | ENCORAFENIB | ETOPOSIDE | GLYCOPYRROLATE | HYDROCORTISONE | ISOSORBIDE DINITRATE | NAPROXEN | NEMTABRUTINIB | REMIFENTANIL | SEVOFLURANE | SUCCINYLCHOLINE,CABOZANTINIB | PIMAVANSERIN | RELUGOLIX | APREMILAST | IBRUTINIB | QUETIAPINE | TREPROSTINIL,"CEFTRIAXONE:((23, 0),) | CEFUROXIME:((1, 0), (22, 0)) | IOPROMIDE:((29, 0),) | PACLITAXEL:((19, 0), (41, 0), (52, 0)) | ROCURONIUM:((3, 0),) | APREPITANT:((16, 0),) | AZITHROMYCIN:((19, 0), (29, 0), (32, 0)) | DEXAMETHASONE ACETATE:((22, 0),) | DIPHENHYDRAMINE:((5, 0),) | DOXORUBICIN:((7, 0), (29, 0))"
