roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,scenario,split_type,fold,split_method,threshold_type,n_train,n_test,n_train_pos,n_test_pos
0.6984126984126985,0.7167826696259791,0.6611111111111111,0.6687500000000001,0.7222222222222222,0.6000000000000002,0.6989247311827957,0.7103825136612023,0.32400140057847165,0.22672266209549508,6.0,4.0,4.0,8.0,0.5313764477433873,main_all_labels,random,21,random_repeated_stratified,train_youden,84,22,47,12
0.6799007444168734,0.7371920375646082,0.6265508684863523,0.6299212598425198,0.7692307692307693,0.4838709677419356,0.6097560975609757,0.6802721088435374,0.26450535299840844,0.22764016604863913,4.0,5.0,3.0,9.0,0.5,main_all_labels,random,22,random_repeated_stratified,fixed_0.5,85,21,47,12
0.6799007444168734,0.7371920375646082,0.6265508684863523,0.6299212598425198,0.7692307692307693,0.4838709677419356,0.6097560975609757,0.6802721088435374,0.26450535299840844,0.22764016604863913,4.0,5.0,3.0,9.0,0.5103593809033418,main_all_labels,random,22,random_repeated_stratified,train_youden,85,21,47,12
0.7946428571428572,0.7725514028276331,0.8080357142857143,0.8134328358208955,0.9285714285714286,0.6875000000000002,0.7647058823529411,0.8387096774193549,0.638943670358562,0.20239666963712705,6.0,3.0,1.0,11.0,0.5,main_all_labels,random,23,random_repeated_stratified,fixed_0.5,85,21,47,12
0.7946428571428572,0.7725514028276331,0.7633928571428572,0.7611940298507462,0.7142857142857143,0.8125000000000001,0.8064516129032259,0.7575757575757576,0.5277289302859254,0.20239666963712705,7.0,2.0,4.0,8.0,0.5596286573658054,main_all_labels,random,23,random_repeated_stratified,train_youden,85,21,47,12
0.675,0.7124181583702112,0.6166666666666667,0.6166666666666668,0.8333333333333334,0.4,0.5813953488372094,0.6849315068493151,0.25890435250935834,0.22482996522297327,3.0,6.0,2.0,10.0,0.5,main_all_labels,random,24,random_repeated_stratified,fixed_0.5,85,21,47,12
0.675,0.7124181583702112,0.5666666666666667,0.5666666666666667,0.3333333333333333,0.8,0.625,0.4347826086956522,0.15075567228888173,0.22482996522297327,7.0,2.0,8.0,4.0,0.5974947480528894,main_all_labels,random,24,random_repeated_stratified,train_youden,85,21,47,12
0.8376623376623377,0.8826013652839801,0.6958874458874459,0.698529411764706,0.7857142857142857,0.6060606060606062,0.6790123456790124,0.728476821192053,0.39896402154257193,0.20293543810182685,6.0,4.0,2.0,9.0,0.5,main_all_labels,random,25,random_repeated_stratified,fixed_0.5,85,21,48,11
0.8376623376623377,0.8826013652839801,0.7402597402597403,0.7352941176470589,0.5714285714285714,0.9090909090909092,0.8695652173913044,0.6896551724137931,0.5076119249638631,0.20293543810182685,9.0,1.0,4.0,7.0,0.5692122887295453,main_all_labels,random,25,random_repeated_stratified,train_youden,85,21,48,11
0.7651515151515151,0.8467423994035532,0.6496212121212122,0.6712328767123288,0.875,0.42424242424242437,0.6481481481481483,0.7446808510638299,0.3394192344881243,0.20818153185363436,4.0,6.0,2.0,10.0,0.5,main_all_labels,random,26,random_repeated_stratified,fixed_0.5,84,22,47,12
