scenario,split_type,analysis_drug_name,model_label,faers_signal_class,treatment_confounded_candidate,treatment_confounded_category,recommended_label_status,mean_prob_positive,sd_prob_positive,median_prob_positive,n_predictions,mean_pred_0_5,mean_pred_train_youden
exclude_antihistamines_all,scaffold,IOPAMIDOL,1,positive_moderate,False,,retain,0.6720508643235721,0.03839283491136201,0.6657560437088724,20,1.0,1.0
exclude_antihistamines_all,scaffold,IOPROMIDE,1,positive_high,False,,retain,0.627232498190472,0.03696047241742002,0.6160355285150367,20,1.0,1.0
exclude_antihistamines_all,scaffold,ISOSORBIDE DINITRATE,1,positive_moderate,False,,retain,0.6333280917811832,0.049070082322444364,0.6234297436607088,20,1.0,1.0
exclude_antihistamines_all,scaffold,ISOTRETINOIN,0,negative_expanded,False,,retain,0.651203498291838,0.06443052901091681,0.6440374837367517,20,1.0,1.0
exclude_antihistamines_all,scaffold,KETAMINE,1,positive_moderate,False,,retain,0.42509749114550405,0.048642578353004395,0.4203767447869178,20,0.05,0.0
exclude_antihistamines_all,scaffold,LABETALOL,1,positive_moderate,False,,retain,0.5157950632374155,0.0658111514655871,0.4980832288758388,20,0.4,0.25
exclude_antihistamines_all,scaffold,LACOSAMIDE,0,negative_expanded,False,,retain,0.5791022437684277,0.04115577045543373,0.5761861499239703,20,0.95,0.95
exclude_antihistamines_all,scaffold,LETROZOLE,0,negative_expanded,False,,retain,0.48010934239756065,0.03590246871060785,0.4817513453364395,20,0.2,0.05
exclude_antihistamines_all,scaffold,LEVOLEUCOVORIN,1,positive_moderate,False,,retain,0.5419996332729002,0.036704030037124614,0.5511035674267051,20,0.8,0.65
exclude_antihistamines_all,scaffold,LEVONORGESTREL,0,negative_expanded,False,,retain,0.6574437098252834,0.03270285255360792,0.650363845897959,20,1.0,1.0
exclude_antihistamines_all,scaffold,LIDOCAINE,1,positive_high,False,,retain,0.5595786249294554,0.039928126076764256,0.5450884551224167,20,1.0,0.55
exclude_antihistamines_all,scaffold,LISDEXAMFETAMINE,0,negative_expanded,False,,retain,0.5790123663746387,0.042569221745651684,0.5759933105698164,20,1.0,0.85
exclude_antihistamines_all,scaffold,LORAZEPAM,0,negative_expanded,False,,retain,0.4564168017769177,0.031283117658941685,0.4495580423936951,20,0.1,0.0
exclude_antihistamines_all,scaffold,MACITENTAN,0,negative_expanded,False,,retain,0.4488121027774838,0.03142500829409325,0.44801690273909983,20,0.1,0.05
exclude_antihistamines_all,scaffold,MELPHALAN,1,positive_moderate,False,,retain,0.6329899206534534,0.04871966110599091,0.6316573177503104,20,1.0,1.0
exclude_antihistamines_all,scaffold,MESALAMINE,0,negative_expanded,False,,retain,0.6067669435102568,0.03241786392391493,0.6074875560623383,20,1.0,1.0
exclude_antihistamines_all,scaffold,METAMIZOLE,1,positive_moderate,False,,retain,0.47591135928923717,0.042993198781850595,0.4664703503829303,20,0.3,0.05
exclude_antihistamines_all,scaffold,METHAMPHETAMINE,0,negative_expanded,False,,retain,0.5806854028251951,0.03886831934794867,0.5817860874118679,20,1.0,0.85
exclude_antihistamines_all,scaffold,METHYLPREDNISOLONE,1,positive_moderate,True,corticosteroid,label_review_positive_core_treatment,0.6831804266848418,0.043322368104498785,0.6860186305310689,20,1.0,1.0
exclude_antihistamines_all,scaffold,MIDAZOLAM,1,positive_moderate,False,,retain,0.2517701985204136,0.04515614454522477,0.23434506058105545,20,0.0,0.0
exclude_antihistamines_all,scaffold,MIRTAZAPINE,0,negative_expanded,False,,retain,0.41843415652709204,0.03527325791350381,0.4183347505874434,20,0.0,0.0
exclude_antihistamines_all,scaffold,MORPHINE,1,positive_moderate,False,,retain,0.5652482282435559,0.06700605055398295,0.5687453420542583,20,0.85,0.75
exclude_antihistamines_all,scaffold,NAPROXEN,1,positive_moderate,False,,retain,0.4420288284834052,0.03427315684542947,0.43376313813799394,20,0.0,0.0
