roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,model,fold,threshold_type,n_train,n_test,n_train_pos,n_test_pos
0.7226890756302521,0.8289508536326025,0.5672268907563026,0.5806451612903226,0.7058823529411765,0.42857142857142877,0.6,0.6486486486486487,0.1398460356054498,0.27807717116292213,4.0,5.0,4.0,8.0,0.5,logistic_l2,44,fixed_0.5,85,21,47,12
0.7226890756302521,0.8289508536326025,0.7058823529411764,0.6774193548387095,0.4117647058823529,1.0,1.0,0.5833333333333334,0.4900980294098033,0.27807717116292213,9.0,0.0,8.0,4.0,0.9798492756207018,logistic_l2,44,train_youden,85,21,47,12
0.78,0.8067828710179449,0.6833333333333333,0.7037037037037038,0.8666666666666667,0.5000000000000001,0.6842105263157896,0.7647058823529411,0.3990119375605064,0.1887228698943769,5.0,5.0,2.0,9.0,0.5,logistic_l2,45,fixed_0.5,85,21,48,11
0.78,0.8067828710179449,0.55,0.5111111111111111,0.2,0.9,0.7142857142857143,0.3125,0.13710212427677054,0.1887228698943769,9.0,1.0,9.0,2.0,0.9795982866304309,logistic_l2,45,train_youden,85,21,48,11
0.5173160173160173,0.6168968318281866,0.538961038961039,0.5441176470588236,0.7142857142857143,0.36363636363636365,0.5434782608695654,0.6172839506172841,0.08324559486373091,0.3525390552285002,3.0,7.0,4.0,8.0,0.5,logistic_l2,46,fixed_0.5,84,22,47,12
0.5173160173160173,0.6168968318281866,0.5616883116883117,0.551470588235294,0.21428571428571427,0.9090909090909092,0.7142857142857143,0.32967032967032966,0.1706456807968099,0.3525390552285002,9.0,1.0,10.0,2.0,0.9795310342994982,logistic_l2,46,train_youden,84,22,47,12
0.701171875,0.8052191344460884,0.640625,0.638888888888889,0.625,0.6562500000000002,0.6944444444444445,0.6578947368421053,0.2795084971874735,0.24513615278829876,6.0,3.0,5.0,7.0,0.5,logistic_l2,47,fixed_0.5,85,21,47,12
0.701171875,0.8052191344460884,0.53125,0.47916666666666663,0.0625,1.0,1.0,0.11764705882352941,0.16963778593599432,0.24513615278829876,9.0,0.0,11.0,1.0,0.9794264725193389,logistic_l2,47,train_youden,85,21,47,12
0.9187500000000001,0.9350127016176725,0.859375,0.8705035971223022,1.0,0.7187500000000001,0.8064516129032259,0.892857142857143,0.7613390156652905,0.1417961097111797,6.0,3.0,0.0,12.0,0.5,logistic_l2,48,fixed_0.5,85,21,47,12
0.9187500000000001,0.9350127016176725,0.7333333333333334,0.7122302158273381,0.4666666666666667,1.0,1.0,0.6363636363636364,0.5358913016456669,0.1417961097111797,9.0,0.0,6.0,6.0,0.9794587589518169,logistic_l2,48,train_youden,85,21,47,12
0.7011494252873564,0.7915243333688657,0.6942528735632183,0.6992481203007519,0.7333333333333333,0.6551724137931036,0.7333333333333334,0.7333333333333333,0.38850574712643676,0.2410647720474554,6.0,3.0,4.0,8.0,0.5,logistic_l2,49,fixed_0.5,85,21,47,12
0.7011494252873564,0.7915243333688657,0.6333333333333333,0.5864661654135337,0.26666666666666666,1.0,1.0,0.42105263157894735,0.36996372300832825,0.2410647720474554,9.0,0.0,10.0,2.0,0.9776715749960961,logistic_l2,49,train_youden,85,21,47,12
0.6493506493506493,0.5753127951371529,0.6207792207792209,0.6080000000000001,0.7272727272727273,0.5142857142857145,0.5405405405405407,0.62015503875969,0.24397854437176514,0.2777525629418867,5.0,5.0,3.0,8.0,0.5,logistic_l2,50,fixed_0.5,85,21,48,11
0.6493506493506493,0.5753127951371529,0.5025974025974026,0.5519999999999999,0.09090909090909091,0.9142857142857144,0.45454545454545453,0.15151515151515152,0.009102294078577572,0.2777525629418867,9.0,1.0,10.0,1.0,0.9795316659015502,logistic_l2,50,train_youden,85,21,48,11
0.7737556561085973,0.7907439331952459,0.7138009049773756,0.7142857142857144,0.6923076923076923,0.735294117647059,0.7142857142857144,0.7031250000000001,0.4280863447390447,0.2183426933151716,7.0,3.0,4.0,8.0,0.5,logistic_l2,51,fixed_0.5,84,22,47,12
0.7737556561085973,0.7907439331952459,0.6153846153846154,0.6240601503759399,0.23076923076923078,1.0,1.0,0.375,0.3646719874207329,0.2183426933151716,10.0,0.0,10.0,2.0,0.9809807057983244,logistic_l2,51,train_youden,84,22,47,12
0.7280701754385965,0.801738763656452,0.7210526315789474,0.7483870967741936,0.8421052631578947,0.6000000000000001,0.7692307692307694,0.8040201005025126,0.45831213371194623,0.20297537279394823,5.0,4.0,2.0,10.0,0.5,logistic_l2,52,fixed_0.5,85,21,47,12
0.7280701754385965,0.801738763656452,0.5026315789473684,0.41290322580645156,0.10526315789473684,0.9,0.625,0.1801801801801802,0.008425902616991087,0.20297537279394823,8.0,1.0,11.0,1.0,0.979086566015654,logistic_l2,52,train_youden,85,21,47,12
0.7523809523809524,0.8104484813513666,0.7571428571428571,0.7538461538461538,0.7142857142857143,0.8,0.8064516129032259,0.7575757575757576,0.5133089124271284,0.21263964424324563,7.0,2.0,4.0,8.0,0.5,logistic_l2,53,fixed_0.5,85,21,47,12
