scenario,split_type,threshold_type,metric,n,mean,sd,median,q025,q975
positive_high_vs_all_negative,scaffold,train_youden,roc_auc,89,0.7200171055039677,0.20993150173586936,0.7,0.39415151515151514,1.0
positive_high_vs_all_negative,scaffold,train_youden,pr_auc,89,0.6664427470647203,0.24358935330963374,0.6515151515151515,0.18391947610962894,1.0
positive_high_vs_all_negative,scaffold,train_youden,balanced_accuracy,89,0.6024781740594292,0.17520239384777048,0.5,0.5,1.0
positive_high_vs_all_negative,scaffold,train_youden,accuracy,89,0.7591931673660044,0.13587519440066362,0.7297297297297298,0.5348837209302325,1.0
positive_high_vs_all_negative,scaffold,train_youden,sensitivity,89,0.20674157303370785,0.35150936361513,0.0,0.0,1.0
positive_high_vs_all_negative,scaffold,train_youden,specificity,89,0.9982147750851506,0.011878766992180278,1.0,1.0,1.0
positive_high_vs_all_negative,scaffold,train_youden,precision,89,0.32162921348314605,0.46690456446547257,0.0,0.0,1.0
positive_high_vs_all_negative,scaffold,train_youden,f1,89,0.2343252253364613,0.3674897448753261,0.0,0.0,1.0
positive_high_vs_all_negative,scaffold,train_youden,mcc,89,0.2333420483747906,0.3675286083356287,0.0,0.0,1.0
positive_high_vs_all_negative,scaffold,train_youden,brier,89,0.19510856903916846,0.06771941461788801,0.20139755484709296,0.09534027692234583,0.32636784711985684
strict_high_confidence,random,fixed_0.5,roc_auc,100,0.868456450956451,0.1605135931108028,1.0,0.5,1.0
strict_high_confidence,random,fixed_0.5,pr_auc,100,0.9010140054241884,0.13215311607822183,1.0,0.56875,1.0
strict_high_confidence,random,fixed_0.5,balanced_accuracy,100,0.7635012210012211,0.16030363622370364,0.8076923076923077,0.41666666666666663,1.0
strict_high_confidence,random,fixed_0.5,accuracy,100,0.7490394955840983,0.17022737492785972,0.7871376811594203,0.4,1.0
strict_high_confidence,random,fixed_0.5,sensitivity,100,0.8733333333333333,0.21466963630126967,1.0,0.4125,1.0
strict_high_confidence,random,fixed_0.5,specificity,100,0.6536691086691085,0.28890717740795796,0.6547619047619048,0.0,1.0
strict_high_confidence,random,fixed_0.5,precision,100,0.7342664513848725,0.21778851147894707,0.7142857142857143,0.3846153846153846,1.0
strict_high_confidence,random,fixed_0.5,f1,100,0.7677266031275181,0.1678843443223564,0.8,0.4347826086956522,1.0
strict_high_confidence,random,fixed_0.5,mcc,100,0.5595749524893665,0.31609062963456125,0.6405126152203486,-0.1677813612864875,1.0
strict_high_confidence,random,fixed_0.5,brier,100,0.21549705030259442,0.018240216688498123,0.2124813800458662,0.18642307845285813,0.25900713738745035
strict_high_confidence,random,train_youden,roc_auc,100,0.868456450956451,0.1605135931108028,1.0,0.5,1.0
strict_high_confidence,random,train_youden,pr_auc,100,0.9010140054241884,0.13215311607822183,1.0,0.56875,1.0
strict_high_confidence,random,train_youden,balanced_accuracy,100,0.8010714285714287,0.17641849988611938,0.8333333333333333,0.5,1.0
strict_high_confidence,random,train_youden,accuracy,100,0.8011887059716893,0.1743839792666528,0.8237577639751552,0.47306034482758624,1.0
