model,threshold_type,metric,n,mean,sd,median,q025,q975
random_forest,fixed_0.5,balanced_accuracy,100,0.6466612613071113,0.1050233825649585,0.6521581196581197,0.46085227272727275,0.866517857142857
random_forest,fixed_0.5,accuracy,100,0.6367278152561184,0.11953337853940722,0.6457971014492754,0.3903958944281525,0.8561594202898551
random_forest,fixed_0.5,sensitivity,100,0.7962666427437322,0.15881553623904257,0.8255578093306288,0.4475,1.0
random_forest,fixed_0.5,specificity,100,0.49705587987049116,0.20066410061868561,0.4694444444444446,0.20327586206896558,1.0
random_forest,fixed_0.5,precision,100,0.6188934224475928,0.17315914558852888,0.635861376192868,0.2777777777777778,1.0
random_forest,fixed_0.5,f1,100,0.6763338954125027,0.13239226866989237,0.7118725868725868,0.38071895424836605,0.8670520231213873
random_forest,fixed_0.5,mcc,100,0.31436468772133497,0.20984141473004578,0.33001631168494816,-0.08005867138706355,0.735199407742744
random_forest,fixed_0.5,brier,100,0.22617800261875573,0.0275148908005326,0.22045625429939483,0.1845595841687395,0.29052480793928026
random_forest,train_youden,roc_auc,100,0.7153174614886056,0.13691686324590777,0.7266339869281044,0.42462406015037596,0.9391666666666666
random_forest,train_youden,pr_auc,100,0.7461932132691375,0.16643318083254396,0.7956675524343114,0.2817530372582637,0.9559283059092856
random_forest,train_youden,balanced_accuracy,100,0.6609684438071995,0.1200883397377268,0.6770171657592257,0.41666666666666663,0.8947222222222221
random_forest,train_youden,accuracy,100,0.6610057230548871,0.10780737372858247,0.6770370370370371,0.42539682539682544,0.8561594202898551
random_forest,train_youden,sensitivity,100,0.6588121336873679,0.22984546486976706,0.6666666666666666,0.0,1.0
random_forest,train_youden,specificity,100,0.6631247539270311,0.19227761406126712,0.6470588235294119,0.31467225609756105,1.0
random_forest,train_youden,precision,100,0.6563655822645369,0.22180879515889404,0.6787469287469288,0.0,1.0
random_forest,train_youden,f1,100,0.6352592658661738,0.19080233393577076,0.6926884996191927,0.0,0.8458333333333332
